role,group,variable,ahies_code,module,status,value_type,notes
household_id_raw,B1,hhid,hhid,Design,CONFIRMED,int/str,"Resets every quarter (encodes quarter as a leading digit, e.g. 100101 = Q1 cluster01 hh01). NOT usable to link a household across quarters on its own. Kept only as a raw provenance field."
household_seq,B1,HholdID,HholdID,Design,CONFIRMED,int,"True within-cluster household serial number (stable across quarters in principle). Combine with cluster to form the household panel key. Despite the export column being named 'HholdID', it is the LAST TWO DIGITS of hhid, not a global household ID -- verified empirically (2022: matches hhid mod 100)."
cluster_psu,B1,cluster,cluster,Design,CONFIRMED,int,"Enumeration area / cluster code. 600 unique values per year, matching the GSS catalogue figure. Used as the PSU for clustered SEs and as part of the household/person panel key."
person_seq,B1,personid,personid,Design,CONFIRMED,int,"Member line number within household (per quarter roster). 'new_pid' is a duplicate of this column (>99.7% identical across all 3 years) -- personid is used as canonical, new_pid dropped."
person_seq_dup,B1,new_pid,new_pid,Design,CONFIRMED,int,"Duplicate of personid (kept out of the pipeline; documented so nobody re-derives it as a separate person key by mistake)."
district,B1,regdist,regdist,Design,CONFIRMED,str,District code/name (value-labelled 'distcode'). Available for finer geography than region if needed.
region,B1,region,region,Design,CONFIRMED,str,16 regions incl. the 2018/2019 splits (Western North/Ahafo/Bono/Bono East/Oti/Savannah/North East). Value-labelled.
locality,B1,urbrur,urbrur,Design,CONFIRMED,str,Urban/Rural (2 categories). Value-labelled.
stratum,B1,,,Design,PENDING_DDI,,"No explicit design-stratum variable was found among the 838 exported columns (checked variable names and labels). GSS AHIES strata are conventionally region x locality (urbrur); use that as the clustered/stratified-SE proxy unless the GSS technical/DDI documentation names an explicit stratum id. Confirm before final SE computation."
year_tag,B1,year,(derived from source file),Design,DERIVED,int,"2022 / 2023 / 2024. Set by which raw file the row came from -- never inferred from hhid, because hhid's leading digit is only a within-file quarter tag, not a year tag."
quarter_str,B1,quarter,quarter,Design,CONFIRMED,str,"'2022Q1'...'2024Q4'. Kept as-is for a human-readable label."
t_within_year,B1,t_within_year,(derived from quarter string),Design,DERIVED,int,"1-4, the within-year time index t used by the estimator. NOT the same as the raw 'qtr' column, which is a running counter across all three files (1-4 in 2022, 5-8 in 2023, 9-12 in 2024) rather than a within-year index -- verified by crosstabbing year x qtr against the 'quarter' string column. t_within_year is instead parsed from the last character of 'quarter' (e.g. '2022Q1' -> 1), which is reliable regardless of year."
weight_person,B1,weight_person,pop_weight,Design,CONFIRMED,float,Person-level (population) sampling weight.
weight_hh,B1,weight_hh,hh_weight,Design,CONFIRMED,float,Household-level sampling weight.
age,B5,age,s1aq4y,Demography (S1A),CONFIRMED,int,Age in completed years.
sex,B5,sex,s1aq1,Demography (S1A),CONFIRMED,str,Male / Female. Value-labelled; validated as time-invariant within-person (100% constant across quarters for linked individuals in 2022).
relationship_to_head,B5,relate_head,s1aq2,Demography (S1A),CONFIRMED,str,17-category relationship-to-head code. Value-labelled.
marital_status,B5,marital,s1aq5,Demography (S1A),CONFIRMED,str,9-category marital status. Value-labelled.
ever_attended_school,B5,ever_school,s2aq1,Education (S2A),CONFIRMED,str,"'Never attended' / 'Attended in the past' / 'Attending now'. Missingness in s2aq3 lines up almost exactly with 'Never attended' (~20.7% of working-age rows in 2022), confirming s2aq3 is the general attainment item, not a current-enrolment-only item."
education_level,B5,edu_level_raw,s2aq3,Education (S2A),CONFIRMED,str,"Highest level of schooling attending now / attended in the past. 16-category value label. Missing iff ever_attended_school == 'Never attended' (by construction/skip pattern, not a data-quality gap)."
industry_major,B5,industry_major,s4aq41a1,Labour (S4A - main job),CONFIRMED,str,"1-digit ISIC-style major division (21 categories, incl. Armed forces), main job only. Defined only when the person has a main job (see labour_status4)."
occupation_major,B5,occupation_major,s4aq40a1,Labour (S4A - main job),CONFIRMED,str,"1-digit ISCO-style major group (10 categories incl. Armed forces), main job only."
